location,size,total_sqft,bath,price,bhk,price_per_sqft
Kasavanhalli,2 BHK,1090.0,2.0,59.8,2,5486.238532110092
Padmanabhanagar,2 BHK,1000.0,1.0,90.0,2,9000.0
other,3 BHK,1839.0,3.0,160.0,3,8700.380641653072
Hebbal,2 BHK,1420.0,2.0,107.0,2,7535.211267605634
Bommanahalli,2 BHK,1170.0,2.0,34.0,2,2905.982905982906
Tumkur Road,2 BHK,1239.0,2.0,82.0,2,6618.240516545601
Whitefield,4 Bedroom,2064.0,5.0,225.0,4,10901.162790697674
Whitefield,4 BHK,2858.0,4.0,137.0,4,4793.561931420574
Mahadevpura,2 BHK,1225.0,2.0,48.0,2,3918.3673469387754
Padmanabhanagar,3 Bedroom,610.0,2.0,75.0,3,12295.081967213117
other,3 BHK,2456.0,3.0,220.0,3,8957.654723127036
Banashankari,2 BHK,1125.0,2.0,63.0,2,5600.0
HRBR Layout,4 Bedroom,1200.0,2.0,170.0,4,14166.666666666666
Cox Town,3 BHK,1600.0,3.0,150.0,3,9375.0
other,4 Bedroom,1200.0,4.0,210.0,4,17500.0
Sarjapur  Road,2 BHK,1241.0,2.0,82.0,2,6607.57453666398
Kadugodi,4 BHK,3000.0,4.0,134.0,4,4466.666666666667
Haralur Road,2 BHK,1243.0,2.0,46.0,2,3700.724054706356
2nd Stage Nagarbhavi,5 Bedroom,1200.0,4.0,240.0,5,20000.0
Gottigere,3 BHK,1618.0,3.0,82.5,3,5098.887515451174
Tumkur Road,2 BHK,1027.0,2.0,67.0,2,6523.855890944498
Lakshminarayana Pura,3 BHK,1615.0,3.0,150.0,3,9287.925696594428
Harlur,2 BHK,1310.0,2.0,50.0,2,3816.793893129771
6th Phase JP Nagar,3 BHK,1645.0,3.0,100.0,3,6079.0273556231
Bommanahalli,2 BHK,1350.0,2.0,72.0,2,5333.333333333333
Bhoganhalli,3 BHK,1760.0,3.0,128.0,3,7272.727272727273
Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
Koramangala,2 BHK,1320.0,2.0,165.0,2,12500.0
Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,49.27,2,4321.929824561404
other,2 BHK,1220.0,2.0,52.0,2,4262.295081967213
Whitefield,2 BHK,1255.0,2.0,77.0,2,6135.4581673306775
other,2 BHK,1040.0,2.0,68.0,2,6538.461538461538
HRBR Layout,4 BHK,1900.0,3.0,90.0,4,4736.8421052631575
Raja Rajeshwari Nagar,3 BHK,1485.0,2.0,63.0,3,4242.424242424242
Whitefield,2 BHK,1270.0,2.0,110.0,2,8661.417322834646
other,4 Bedroom,600.0,4.0,77.0,4,12833.333333333334
Iblur Village,4 BHK,3596.0,5.0,260.0,4,7230.255839822024
Ramamurthy Nagar,7 Bedroom,1500.0,9.0,250.0,7,16666.666666666668
other,2 BHK,1160.0,2.0,55.0,2,4741.379310344828
other,2 BHK,1068.0,2.0,40.05,2,3749.999999999999
other,7 BHK,4000.0,8.0,150.0,7,3750.0
Budigere,3 BHK,1636.0,3.0,85.0,3,5195.59902200489
other,2 BHK,1200.0,2.0,90.0,2,7500.0
Ardendale,4 BHK,3198.0,4.0,200.0,4,6253.908692933083
other,3 BHK,1550.0,2.0,79.0,3,5096.774193548387
other,2 BHK,1330.0,2.0,64.0,2,4812.0300751879695
Kudlu Gate,2 BHK,1464.0,3.0,56.0,2,3825.136612021858
other,3 BHK,1250.0,3.0,39.0,3,3120.0
Hegde Nagar,3 BHK,2006.0,4.0,196.0,3,9770.687936191423
other,4 Bedroom,1650.0,4.0,320.0,4,19393.939393939392
Sector 2 HSR Layout,2 BHK,1146.0,2.0,55.0,2,4799.301919720768
other,3 BHK,1660.0,2.0,105.0,3,6325.301204819277
Nagarbhavi,3 Bedroom,800.0,3.0,95.0,3,11875.0
other,2 BHK,1156.0,2.0,49.5,2,4282.006920415225
Nagarbhavi,3 Bedroom,600.0,2.0,80.0,3,13333.333333333334
Bommanahalli,3 BHK,1250.0,4.0,39.0,3,3120.0
other,2 BHK,1250.0,2.0,39.0,2,3120.0
other,3 BHK,1800.0,3.0,65.0,3,3611.1111111111113
Kanakpura Road,3 BHK,2000.0,3.0,105.0,3,5250.0
Kodigehalli,4 BHK,600.0,3.0,85.0,4,14166.666666666666
Electronics City Phase 1,3 BHK,1515.0,2.0,80.91,3,5340.59405940594
Harlur,3 BHK,1762.0,3.0,133.0,3,7548.240635641317
Rayasandra,2 BHK,1198.0,2.0,54.0,2,4507.512520868114
Kudlu Gate,2 BHK,1238.0,2.0,55.0,2,4442.64943457189
Rajaji Nagar,3 BHK,1640.0,3.0,223.0,3,13597.560975609756
other,3 BHK,1800.0,3.0,90.0,3,5000.0
other,2 BHK,1140.0,2.0,45.0,2,3947.368421052632
other,4 BHK,3600.0,4.0,365.0,4,10138.888888888889
Bommenahalli,4 Bedroom,1632.0,3.0,145.0,4,8884.803921568628
other,2 BHK,1150.0,2.0,125.0,2,10869.565217391304
Jalahalli,2 BHK,1045.0,2.0,58.0,2,5550.239234449761
Bisuvanahalli,3 BHK,1075.0,2.0,47.0,3,4372.093023255814
other,4 Bedroom,1800.0,5.0,500.0,4,27777.777777777777
Thanisandra,2 BHK,1100.0,2.0,42.0,2,3818.181818181818
Electronic City,2 BHK,1065.0,2.0,30.76,2,2888.262910798122
Marathahalli,2 BHK,1152.0,2.0,56.0,2,4861.111111111111
Dodda Nekkundi,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
Jigani,2 BHK,918.0,2.0,50.0,2,5446.623093681917
other,2 BHK,1120.0,2.0,36.0,2,3214.285714285714
other,2 BHK,1025.0,2.0,65.0,2,6341.463414634146
Old Madras Road,4 BHK,3630.0,6.0,207.0,4,5702.479338842975
Yelahanka,2 BHK,1315.0,2.0,77.0,2,5855.513307984791
Kodichikkanahalli,2 BHK,995.0,2.0,41.0,2,4120.603015075377
Whitefield,2 BHK,1205.0,2.0,39.0,2,3236.514522821577
other,7 Bedroom,2100.0,7.0,410.0,7,19523.809523809523
other,3 Bedroom,800.0,3.0,120.0,3,15000.0
Old Madras Road,2 BHK,1200.0,2.0,72.0,2,6000.0
9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2,4436.557231588287
other,3 BHK,1665.0,3.0,105.0,3,6306.306306306306
Chamrajpet,4 BHK,1900.0,2.0,170.0,4,8947.368421052632
Hebbal,2 BHK,1040.0,2.0,50.0,2,4807.692307692308
other,7 Bedroom,3000.0,6.0,145.0,7,4833.333333333333
Nagavara,2 BHK,1077.0,2.0,50.0,2,4642.525533890436
Electronic City Phase II,2 BHK,1165.0,2.0,33.64,2,2887.5536480686696
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,4,4888.888888888889
Thanisandra,2 BHK,1093.0,2.0,70.0,2,6404.391582799634
Old Madras Road,3 BHK,1630.0,3.0,110.0,3,6748.4662576687115
other,1 BHK,600.0,1.0,45.0,1,7500.0
Thanisandra,3 BHK,1801.0,3.0,115.0,3,6385.341476957246
other,4 Bedroom,7000.0,5.0,2050.0,4,29285.714285714286
other,6 Bedroom,850.0,6.0,78.0,6,9176.470588235294
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2,3389.711064129669
Kudlu Gate,3 BHK,1564.0,2.0,92.0,3,5882.35294117647
Thubarahalli,3 BHK,1418.0,2.0,65.0,3,4583.921015514809
other,2 BHK,800.0,2.0,55.0,2,6875.0
Vidyaranyapura,2 BHK,1062.0,2.0,38.0,2,3578.154425612053
other,3 BHK,1480.0,2.0,145.0,3,9797.297297297297
Hosakerehalli,3 BHK,2480.0,4.0,260.0,3,10483.870967741936
Laggere,7 Bedroom,1590.0,9.0,132.0,7,8301.88679245283
other,2 BHK,1194.0,2.0,55.0,2,4606.365159128978
Hennur Road,2 BHK,1232.0,2.0,69.61,2,5650.162337662337
Munnekollal,10 Bedroom,1200.0,8.0,230.0,10,19166.666666666668
other,2 BHK,955.0,1.0,34.01,2,3561.256544502618
Harlur,3 BHK,1750.0,3.0,136.0,3,7771.428571428572
Ramagondanahalli,3 BHK,1610.0,2.0,115.0,3,7142.857142857143
Electronics City Phase 1,2 BHK,1170.0,2.0,62.0,2,5299.145299145299
other,3 BHK,1630.0,3.0,85.0,3,5214.7239263803685
Thigalarapalya,3 BHK,2215.0,4.0,156.0,3,7042.889390519187
Harlur,2 BHK,1290.0,2.0,89.9,2,6968.992248062015
CV Raman Nagar,2 BHK,1560.0,2.0,85.0,2,5448.717948717948
Kengeri Satellite Town,1 BHK,410.0,1.0,15.0,1,3658.5365853658536
Banaswadi,2 BHK,1250.0,2.0,60.0,2,4800.0
Kundalahalli,3 BHK,1724.0,3.0,146.0,3,8468.677494199535
Hoodi,3 BHK,1400.0,3.0,74.0,3,5285.714285714285
Thanisandra,3 BHK,1678.0,3.0,125.0,3,7449.344457687724
ISRO Layout,3 BHK,1310.0,2.0,68.0,3,5190.839694656489
Vidyaranyapura,4 Bedroom,1200.0,4.0,90.0,4,7500.0
Kengeri,1 BHK,540.0,1.0,22.5,1,4166.666666666667
KR Puram,2 BHK,1470.0,2.0,86.0,2,5850.340136054422
Sarjapur  Road,4 Bedroom,3200.0,4.0,350.0,4,10937.5
other,2 BHK,1133.0,2.0,55.0,2,4854.368932038835
Bharathi Nagar,3 BHK,1664.0,3.0,69.89,3,4200.120192307692
Hoskote,3 Bedroom,1200.0,3.0,57.0,3,4750.0
Whitefield,2 BHK,1105.0,2.0,35.4,2,3203.6199095022625
Hennur,2 BHK,1255.0,2.0,54.5,2,4342.629482071713
Sarjapur,3 BHK,1525.0,2.0,48.0,3,3147.5409836065573
ITPL,2 BHK,1000.0,2.0,29.95,2,2995.0
other,2 BHK,1400.0,2.0,85.0,2,6071.428571428572
Hulimavu,1 BHK,500.0,1.0,220.0,1,44000.0
Budigere,2 BHK,1162.0,2.0,57.0,2,4905.335628227194
Bisuvanahalli,3 BHK,1075.0,2.0,45.0,3,4186.046511627907
other,6 Bedroom,2400.0,7.0,460.0,6,19166.666666666668
other,4 BHK,4041.0,4.0,345.0,4,8537.490720118782
Padmanabhanagar,3 BHK,1710.0,2.0,90.63,3,5300.0
Jakkur,2 BHK,1202.0,2.0,79.0,2,6572.379367720466
Ambedkar Nagar,3 BHK,2395.0,4.0,150.0,3,6263.048016701461
Kudlu,2 BHK,1300.0,2.0,56.0,2,4307.692307692308
HBR Layout,4 Bedroom,800.0,4.0,180.0,4,22500.0
Koramangala,2 BHK,1140.0,2.0,75.2,2,6596.491228070176
Ramamurthy Nagar,2 BHK,1200.0,2.0,48.0,2,4000.0
Sarjapur  Road,3 BHK,2100.0,3.0,125.0,3,5952.380952380952
Uttarahalli,2 BHK,900.0,2.0,35.0,2,3888.8888888888887
Subramanyapura,2 BHK,975.0,2.0,58.0,2,5948.717948717948
Sonnenahalli,2 BHK,1059.0,2.0,62.0,2,5854.579792256846
7th Phase JP Nagar,2 BHK,1070.0,2.0,42.0,2,3925.233644859813
other,3 BHK,1320.0,2.0,55.0,3,4166.666666666667
Sarjapur  Road,4 BHK,3900.0,4.0,300.0,4,7692.307692307692
Thigalarapalya,2 BHK,1418.0,2.0,105.0,2,7404.795486600846
other,2 BHK,1160.0,2.0,41.75,2,3599.137931034483
Kanakpura Road,2 BHK,900.0,2.0,41.0,2,4555.555555555556
other,2 BHK,1250.0,2.0,59.0,2,4720.0
Begur Road,2 BHK,1160.0,2.0,36.0,2,3103.448275862069
7th Phase JP Nagar,5 Bedroom,1800.0,6.0,270.0,5,15000.0
Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402.061855670103
Yeshwanthpur,3 BHK,1523.0,3.0,170.0,3,11162.179908076165
Jigani,3 BHK,1221.0,3.0,52.0,3,4258.804258804259
HSR Layout,2 BHK,1100.0,2.0,44.0,2,4000.0
Kodichikkanahalli,2 BHK,900.0,2.0,42.0,2,4666.666666666667
Whitefield,3 BHK,1650.0,3.0,60.0,3,3636.363636363637
Kumaraswami Layout,1 Bedroom,850.0,1.0,78.0,1,9176.470588235294
Thanisandra,2 BHK,1056.0,2.0,70.0,2,6628.787878787879
other,2 BHK,900.0,2.0,55.0,2,6111.111111111111
other,2 Bedroom,1200.0,2.0,34.0,2,2833.3333333333335
Thanisandra,3 BHK,1948.0,3.0,130.0,3,6673.511293634497
Harlur,3 BHK,1756.0,3.0,128.0,3,7289.293849658315
Tumkur Road,2 BHK,1246.0,2.0,82.0,2,6581.0593900481545
other,2 Bedroom,1600.0,2.0,160.0,2,10000.0
Anekal,3 BHK,997.0,3.0,55.0,3,5516.5496489468405
Kengeri,2 BHK,750.0,2.0,22.0,2,2933.3333333333335
Old Madras Road,3 Bedroom,2300.0,3.0,142.0,3,6173.913043478261
Whitefield,2 BHK,1255.0,2.0,40.0,2,3187.2509960159364
Attibele,3 Bedroom,1200.0,3.0,110.0,3,9166.666666666666
Uttarahalli,2 BHK,1125.0,2.0,47.0,2,4177.777777777777
Kodichikkanahalli,2 BHK,1125.0,2.0,52.0,2,4622.222222222223
Rachenahalli,3 BHK,1530.0,2.0,74.5,3,4869.281045751634
Battarahalli,2 BHK,1165.0,2.0,43.0,2,3690.987124463519
Murugeshpalya,3 BHK,1855.0,3.0,96.0,3,5175.202156334231
Lakshminarayana Pura,3 BHK,1500.0,3.0,104.0,3,6933.333333333333
Horamavu Banaswadi,2 BHK,1272.0,2.0,51.5,2,4048.74213836478
Chikkalasandra,3 BHK,1390.0,2.0,60.47,3,4350.359712230216
JP Nagar,2 BHK,1352.5,2.0,93.865,2,6940.110905730129
Hennur Road,2 BHK,1232.0,2.0,69.6,2,5649.350649350648
Electronic City Phase II,3 BHK,1400.0,2.0,40.45,3,2889.2857142857147
Kaggadasapura,2 BHK,1180.0,2.0,70.0,2,5932.203389830508
Padmanabhanagar,3 Bedroom,1500.0,2.0,200.0,3,13333.333333333334
other,2 BHK,1095.0,2.0,38.52,2,3517.8082191780827
other,2 BHK,993.0,2.0,45.5,2,4582.074521651561
Sarjapur  Road,2 BHK,1229.0,2.0,70.0,2,5695.6875508543535
Yeshwanthpur,9 Bedroom,2400.0,6.0,270.0,9,11250.0
Sarjapur  Road,4 BHK,2425.0,5.0,175.0,4,7216.494845360825
Vidyaranyapura,7 Bedroom,3150.0,7.0,375.0,7,11904.761904761905
Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936.348408710218
Yelahanka,3 BHK,1350.0,2.0,85.0,3,6296.2962962962965
Kalyan nagar,3 BHK,2285.0,4.0,165.0,3,7221.006564551422
Electronic City,3 BHK,1600.0,3.0,104.0,3,6500.0
Hosur Road,3 BHK,1590.0,2.0,135.0,3,8490.566037735849
Thanisandra,1 RK,510.0,1.0,25.25,1,4950.980392156863
Kammasandra,2 BHK,674.0,2.0,29.0,2,4302.670623145401
Sarjapur,2 BHK,535.0,1.0,20.0,2,3738.3177570093458
Whitefield,2 BHK,1355.0,2.0,78.0,2,5756.457564575646
Whitefield,2 BHK,1150.0,2.0,90.0,2,7826.086956521739
Choodasandra,3 BHK,1465.0,3.0,75.0,3,5119.453924914676
Sarjapur  Road,2 BHK,1115.0,2.0,43.0,2,3856.5022421524664
Harlur,3 BHK,1754.0,3.0,135.0,3,7696.693272519954
other,4 Bedroom,1200.0,4.0,150.0,4,12500.0
Begur Road,3 Bedroom,680.0,4.0,68.0,3,10000.0
Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882.35294117647
Binny Pete,3 BHK,1795.0,3.0,139.0,3,7743.732590529248
Ramamurthy Nagar,2 Bedroom,1100.0,2.0,68.0,2,6181.818181818182
Somasundara Palya,3 BHK,1600.0,3.0,64.0,3,4000.0
Frazer Town,4 BHK,4100.0,4.0,660.0,4,16097.560975609756
HSR Layout,9 Bedroom,1200.0,9.0,350.0,9,29166.666666666668
Talaghattapura,3 BHK,2254.0,3.0,170.0,3,7542.147293700089
Hennur Road,3 BHK,2047.0,3.0,67.55,3,3299.951148021494
other,2 BHK,1210.0,2.0,62.0,2,5123.966942148761
EPIP Zone,3 BHK,2210.0,3.0,165.0,3,7466.06334841629
Whitefield,4 Bedroom,4800.0,4.0,550.0,4,11458.333333333334
TC Palaya,3 Bedroom,1200.0,2.0,66.0,3,5500.0
Banashankari Stage V,3 BHK,1630.0,3.0,51.35,3,3150.306748466258
Kambipura,2 BHK,883.0,2.0,45.0,2,5096.262740656852
Kundalahalli,2 BHK,1291.0,2.0,49.0,2,3795.507358636716
Hegde Nagar,4 Bedroom,1200.0,4.0,83.0,4,6916.666666666667
Yelahanka,3 BHK,1075.0,2.0,42.0,3,3906.9767441860463
5th Phase JP Nagar,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
Whitefield,2 BHK,1155.0,2.0,55.0,2,4761.9047619047615
BTM 2nd Stage,2 BHK,1265.0,2.0,55.0,2,4347.826086956522
Frazer Town,3 BHK,1510.0,2.0,75.0,3,4966.887417218543
Electronic City,3 BHK,1530.0,2.0,45.9,3,3000.0
other,4 BHK,4800.0,4.0,235.0,4,4895.833333333333
Kengeri Satellite Town,1 BHK,654.0,1.0,22.0,1,3363.914373088685
Padmanabhanagar,4 BHK,3000.0,4.0,350.0,4,11666.666666666666
Domlur,3 BHK,2180.0,3.0,285.0,3,13073.394495412844
other,4 Bedroom,2400.0,4.0,89.0,4,3708.3333333333335
Kengeri Satellite Town,2 BHK,818.0,2.0,26.0,2,3178.484107579462
other,2 BHK,935.0,2.0,45.9,2,4909.090909090909
Thanisandra,3 BHK,1595.0,3.0,120.0,3,7523.510971786834
Nagarbhavi,2 Bedroom,1250.0,3.0,170.0,2,13600.0
Uttarahalli,2 BHK,1008.0,2.0,45.0,2,4464.285714285715
other,5 Bedroom,800.0,4.0,98.0,5,12250.0
Raja Rajeshwari Nagar,3 BHK,1580.0,3.0,53.56,3,3389.8734177215188
Cooke Town,3 BHK,2388.0,4.0,239.0,3,10008.375209380234
Raja Rajeshwari Nagar,3 BHK,1280.0,3.0,57.6,3,4500.0
Electronic City,2 BHK,1140.0,2.0,70.93,2,6221.9298245614045
other,4 Bedroom,2800.0,3.0,500.0,4,17857.14285714286
other,7 Bedroom,600.0,6.0,138.0,7,23000.0
Prithvi Layout,3 BHK,2100.0,3.0,125.0,3,5952.380952380952
BTM Layout,2 BHK,1020.0,2.0,46.5,2,4558.823529411765
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
Bannerghatta Road,3 BHK,1725.0,3.0,85.0,3,4927.536231884058
JP Nagar,1 BHK,750.0,1.0,52.5,1,7000.0
other,4 Bedroom,4200.0,4.0,760.0,4,18095.238095238095
Dasanapura,2 BHK,814.0,2.0,53.0,2,6511.056511056511
7th Phase JP Nagar,3 BHK,1370.0,2.0,54.79,3,3999.270072992701
LB Shastri Nagar,2 BHK,1250.0,2.0,48.5,2,3880.0
Lakshminarayana Pura,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
Somasundara Palya,2 BHK,1260.0,2.0,60.0,2,4761.9047619047615
Whitefield,4 BHK,3075.0,2.0,188.0,4,6113.821138211382
other,3 BHK,1532.0,3.0,59.75,3,3900.130548302872
Ambedkar Nagar,3 BHK,1852.0,3.0,125.0,3,6749.460043196545
Whitefield,2 BHK,1390.0,2.0,72.0,2,5179.856115107914
other,4 Bedroom,1500.0,4.0,240.0,4,16000.0
Raja Rajeshwari Nagar,2 BHK,1162.0,2.0,65.0,2,5593.803786574871
other,5 Bedroom,1200.0,6.0,137.0,5,11416.666666666666
Begur Road,2 BHK,1200.0,2.0,45.0,2,3750.0
other,3 BHK,1340.0,3.0,77.0,3,5746.268656716418
Raja Rajeshwari Nagar,3 BHK,1278.0,2.0,53.76,3,4206.572769953052
HSR Layout,8 Bedroom,600.0,9.0,200.0,8,33333.333333333336
Sarjapur,1 BHK,649.5,1.0,17.535,1,2699.7690531177827
Hormavu,2 BHK,1075.0,2.0,53.7,2,4995.3488372093025
Thanisandra,1 BHK,923.0,1.0,60.84,1,6591.549295774648
Hebbal,4 BHK,2483.0,5.0,215.0,4,8658.880386629078
Chikka Tirupathi,3 Bedroom,2646.0,3.0,99.0,3,3741.496598639456
Hosa Road,2 BHK,972.0,2.0,40.0,2,4115.22633744856
7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3,7567.567567567568
Sahakara Nagar,2 BHK,1100.0,2.0,55.0,2,5000.0
GM Palaya,2 BHK,1030.0,2.0,60.0,2,5825.242718446602
Hosa Road,2 BHK,1063.0,2.0,31.89,2,3000.0
other,3 Bedroom,1200.0,3.0,200.0,3,16666.666666666668
other,1 BHK,834.0,1.0,62.0,1,7434.052757793765
Sarjapur,3 Bedroom,3009.0,3.0,330.0,3,10967.098703888336
Electronic City,2 BHK,550.0,1.0,16.0,2,2909.090909090909
other,1 BHK,500.0,1.0,20.0,1,4000.0
Whitefield,2 BHK,1020.0,2.0,45.0,2,4411.764705882353
Hosa Road,2 BHK,1040.0,2.0,68.59,2,6595.192307692308
Electronic City,3 BHK,1360.0,2.0,58.0,3,4264.705882352941
Munnekollal,2 BHK,1170.0,2.0,52.0,2,4444.444444444444
Bannerghatta,3 BHK,1776.0,3.0,124.0,3,6981.981981981982
Sanjay nagar,2 BHK,1575.0,2.0,90.0,2,5714.285714285715
Jakkur,3 BHK,1622.0,2.0,80.0,3,4932.182490752158
other,4 Bedroom,750.0,4.0,95.0,4,12666.666666666666
Kasavanhalli,3 BHK,1715.0,3.0,112.0,3,6530.6122448979595
